GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared sv title,shared gs coauthors,shared sv coauthors
ôøåòùöôø,ÔØ Å ÒÙ× Ö ÔØ,"['Paul Pavlidis', 'Sophia Frangou', 'Vesna Sossi']",,,,controllingthefalsediscoveryrateinmodelingbrainfunctionalconnectivity,Controlling the false discovery rate in modeling brain functional connectivity,Controlling the false discovery rate in modeling brain functional connectivity,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
characterizingpetimagesusing3dspatialinformationinterventioninducedraclopridebindingchanges,Characterizing PET images using 3D spatial information: Intervention-induced raclopride binding changes,"['Silke Cresswell', 'Vesna Sossi']",,,,dopaminereplacementremediatesriskaversioninparkinsonsdiseaseinavalueindependentmanner,Dopamine replacement remediates risk aversion in Parkinson's disease in a value-independent manner,Dopamine replacement remediates risk aversion in Parkinson's disease in a value-independent manner,"['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell']","['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell']"
forcedependentinterhemisphericconnectivityinparkinsonsdiseasepd,Force-dependent interhemispheric connectivity in Parkinson's disease (PD),"['Martin McKeown', 'Z. Jane Wang']",,,,differencesintheemergentcodingpropertiesofcorticalandstriatalensembles,Differences in the emergent coding properties of cortical and striatal ensembles,Differences in the emergent coding properties of cortical and striatal ensembles,"['Anthony Phillips', 'Jeremy Seamans']","['Anthony Phillips', 'Jeremy Seamans']"
quantitativefluorescencelifetimeimaginguncoversanovelroleforkcc2chloridetransportindendriticmicrodomains,Quantitative fluorescence lifetime imaging uncovers a novel role for kcc2 chloride transport in dendritic microdomains,"['Brian MacVicar', 'Jeffrey LeDue']",,,,highspeedfluoroscopytomeasuredynamicspinalcorddeformationinaninvivoratmodel,High-Speed Fluoroscopy to Measure Dynamic Spinal Cord Deformation in an In Vivo Rat Model,High-Speed Fluoroscopy to Measure Dynamic Spinal Cord Deformation in an in Vivo Rat Model,"['Peter Cripton', 'Wolfram Tetzlaff']","['Peter Cripton', 'Wolfram Tetzlaff']"
universityofbritishcolumbia,University of British Columbia,"['Martin McKeown', 'Brian D. Fisher']",,,,d1receptormodulationofhippocampalprefrontalcorticalcircuitsintegratingspatialmemorywithexecutivefunctionsintherat,D1 receptor modulation of hippocampal–prefrontal cortical circuits integrating spatial memory with executive functions in the rat,D<inf>1</inf> receptor modulation of hippocampal-prefrontal cortical circuits integrating spatial memory with executive functions in the rat,"['Anthony Phillips', 'Jeremy Seamans']","['Anthony Phillips', 'Jeremy Seamans']"
roleofdatinsynapticdopamineoscillationsinparkinsonsdiseaseaapetstudy,Role of DAT in synaptic dopamine oscillations in Parkinson's diseasea: A PET study,"['A Jon Stoessl', 'Vesna Sossi']",,,,front2backsingleview3dshapereconstructionviafronttobackprediction,Front2back: Single view 3d shape reconstruction via front to back prediction,Front2Back: Single View 3D Shape Reconstruction via Front to Back Prediction,"['Leonid Sigal', 'Helge Rhodin']","['Leonid Sigal', 'Helge Rhodin']"
exercisealtersresponseofrewardanticipationintheventralstriatumofsubjectswithparkinsonsdisease,Exercise alters response of reward anticipation in the ventral striatum of subjects with Parkinson's disease,"['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']",,,,targetedischemicstrokeinductionandmesoscopicimagingassessmentofbloodflowandischemicdepolarizationinawakemice,Targeted ischemic stroke induction and mesoscopic imaging assessment of blood flow and ischemic depolarization in awake mice,Targeted ischemic stroke induction and mesoscopic imaging assessment of blood flow and ischemic depolarization in awake mice,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
serotonintransporterbindingandmotoronsetofparkinsonsdiseaseinasymptomaticlrrk2mutationcarriersacrosssectionalstudy,Serotonin transporter binding and motor onset of Parkinson's disease in asymptomatic LRRK2 mutation carriers: a cross-sectional study,"['A Jon Stoessl', 'Vesna Sossi']",,,,chronicpregabalintreatmentprotectsagainstspreadingdepolarizationandaltershippocampalsynapticcharacteristicsinamodeloffamilialhemiplegicmigrainetype1,Chronic pregabalin treatment protects against spreading depolarization and alters hippocampal synaptic characteristics in a model of familial hemiplegic migraine-type 1,Chronic pregabalin treatment protects against spreading depolarization and alters hippocampal synaptic characteristics in a model of familial hemiplegic migraine-type 1,"['Brian MacVicar', 'Terry Snutch']","['Brian MacVicar', 'Terry Snutch']"
effectofdopaminelossandthemetabolite3omethyl18ffluorodopaontherelationbetweenthe18ffluorodopatissueinputuptakerateconstantkoccandthe18f,Effect of Dopamine Loss and the Metabolite 3-O-Methyl-[18F]Fluoro-dopa on the Relation between the 18F-Fluorodopa Tissue Input Uptake Rate Constant Kocc and the [18F …,"['A Jon Stoessl', 'Vesna Sossi']",,,,anautomatedhomecagesystemtoassesslearningandperformanceofaskilledmotortaskinamousemodelofhuntingtonsdisease,An automated home-cage system to assess learning and performance of a skilled motor task in a mouse model of Huntington’s disease,An automated home-cage system to assess learning and performance of a skilled motor task in a mouse model of huntington’s disease,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
braincommunicationsaincommunications,BRAIN COMMUNICATIONS AIN COMMUNICATIONS,"['Brian MacVicar', 'Terry Snutch', 'Ian Mackenzie']",,,,brainconnectivityassessedwithfunctionalmri,Brain Connectivity Assessed with Functional MRI,Brain connectivity assessed with functional MRI,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
positronemissiontomographydemonstratesreduceddopaminetransporterexpressioninpdpatientswithdyskinesia,Positron emission tomography demonstrates reduced dopamine transporter expression in PD patients with dyskinesia,"['A Jon Stoessl', 'Vesna Sossi']",,,,xctcystinetransporterexpressioninhek293cellspharmacologyandlocalization,xCt cystine transporter expression in HEK293 cells: pharmacology and localization,xCT cystine transporter expression in HEK293 cells: Pharmacology and localization,"['Tim H. Murphy', 'Andy Shih']","['Tim H. Murphy', 'Andy Shih']"
alongitudinal11cdihydrotetrabenazinepetstudyofgenderdifferenceintheprogressionofdopaminergicdysfunctionintheparkinsoniancaudatep6064,A Longitudinal [11C](±) dihydrotetrabenazine PET Study of Gender Difference in the Progression of Dopaminergic Dysfunction in the Parkinsonian Caudate (P6. 064),"['A Jon Stoessl', 'Vesna Sossi']",,,,differentialregulationofcellproliferationinneurogeniczonesinmicelackingcystinetransportbyxct,Differential regulation of cell proliferation in neurogenic zones in mice lacking cystine transport by xCT,Differential regulation of cell proliferation in neurogenic zones in mice lacking cystine transport by xCT,"['Tim H. Murphy', 'Craig E. Brown']","['Tim H. Murphy', 'Craig E. Brown']"
theinfluenceoflrrk2mutationsoncholinergicsysteminmanifestandprodromalstageofparkinsonsdiseaseapositronemissiontomographystudy,The influence of LRRK2 mutations on cholinergic system in manifest and prodromal stage of Parkinson's disease: a positron emission tomography study,"['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']",,,,dopaminereleaseinhumanventralstriatumandexpectationofreward,Dopamine release in human ventral striatum and expectation of reward,Dopamine release in human ventral striatum and expectation of reward,"['A Jon Stoessl', 'Anthony Phillips', 'Vesna Sossi']","['A Jon Stoessl', 'Anthony Phillips', 'Vesna Sossi']"
invivoandnoninvasiveanalysisofspinalcorddeformationsforrodentresearchusingmagneticresonanceimaging,In vivo and non-invasive analysis of spinal cord deformations for rodent research using magnetic resonance imaging,"['Peter Cripton', 'Wolfram Tetzlaff']",,,,heantos4anaturalplantextractusedinthetreatmentofdrugaddictionmodulatesttypecalciumchannelsandthalamocorticalburstfiring,"Heantos-4, a natural plant extract used in the treatment of drug addiction, modulates T-type calcium channels and thalamocortical burst-firing","Heantos-4, a natural plant extract used in the treatment of drug addiction, modulates T-type calcium channels and thalamocortical burst-firing","['Anthony Phillips', 'Terry Snutch']","['Anthony Phillips', 'Terry Snutch']"
effectofexerciseonbrainmetabolismandenergeticsinpd,Effect of exercise on brain metabolism and energetics in PD,"['A Jon Stoessl', 'Vesna Sossi']",,,,randomizedtrialofintermittentintraputamenalglialcelllinederivedneurotrophicfactorinparkinsonsdisease,Randomized trial of intermittent intraputamenal glial cell line-derived neurotrophic factor in Parkinson’s disease,Randomized trial of intermittent intraputamenal glial cell line-derived neurotrophic factor in Parkinson's disease,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
criticalperiodforstimulationduringdevelopment,Critical Period for Stimulation During Development,"['Catharine Rankin', 'Liisa Galea']",,,,shrinkagetotaperingestimationoflargecovariancematrices,Shrinkage-to-tapering estimation of large covariance matrices,Shrinkage-to-tapering estimation of large covariance matrices,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
correlationanalysisbetweendopaminereleaseinstriatalsubregionsandmotorimpairmentinparkinsonsdiseasesubjects,Correlation analysis between dopamine release in striatal sub-regions and motor impairment in Parkinson's disease subjects,"['Lara Boyd', 'A Jon Stoessl', 'Vesna Sossi']",,,,towardsavisualizabledeidentifiedsyntheticbiomarkerofhumanmovementdisorders,"Towards a Visualizable, De-identified Synthetic Biomarker of Human Movement Disorders","Towards a Visualizable, De-identified Synthetic Biomarker of Human Movement Disorders","['Tim H. Murphy', 'Helge Rhodin']","['Tim H. Murphy', 'Helge Rhodin']"
amultimodalframeworkforjointkinematicandeegdataanalysisduringahapticreachingtaskinparkinsonsdisease,A Multimodal Framework for Joint Kinematic and EEG Data Analysis during a Haptic Reaching Task in Parkinson’s Disease,"['Martin McKeown', 'Z. Jane Wang']",,,,multimodalimagingofsubstantianigrainparkinsonsdiseasewithlevodopainduceddyskinesia,Multimodal Imaging of Substantia Nigra in Parkinson's Disease with Levodopa‐Induced Dyskinesia,Multimodal Imaging of Substantia Nigra in Parkinson's Disease with Levodopa-Induced Dyskinesia,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
comparisonofagerelatedchangesinthenormalstriatumbetweendopaminergicpettracersevidenceforthedownregulationofdopaminetransporterswithaging,Comparison of age-related changes in the normal striatum between dopaminergic PET tracers: evidence for the downregulation of dopamine transporters with aging,"['A Jon Stoessl', 'Vesna Sossi']",,,,petdemonstratesreduceddopaminetransporterexpressioninpdwithdyskinesias,PET demonstrates reduced dopamine transporter expression in PD with dyskinesias,PET demonstrates reduced dopamine transporter expression in PD with dyskinesias,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
researchday2010,RESEARCH DAY 2010,"['Fidel Vila-Rodriguez', 'Todd Woodward']",,,,disruptionofampareceptorendocytosisimpairstheextinctionbutnotacquisitionoflearnedfear,"Disruption of AMPA receptor endocytosis impairs the extinction, but not acquisition of learned fear","Disruption of AMPA receptor endocytosis impairs the extinction, but not acquisition of learned fear","['Anthony Phillips', 'Yu Tian Wang']","['Anthony Phillips', 'Yu Tian Wang']"
remappingoffmrifunctionalconnectivityduringrestingstateinmultiplesclerosisrepresentscompensatorymechanismsp6146,Remapping of fMRI functional connectivity during resting state in multiple sclerosis represents compensatory mechanisms (P6. 146),"['Martin McKeown', 'Z. Jane Wang']",,,,expectationanddopaminereleasemechanismoftheplaceboeffectinparkinsonsdisease,Expectation and dopamine release: mechanism of the placebo effect in Parkinson's disease,Expectation and dopamine release: Mechanism of the placebo effect in Parkinson's disease,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
seventhannualmeetingmonttremblantskiresortmonttremblantquebecwednesdaymarch21tosaturdaymarch242007accesstospinalcareataleof2citiesdoesthe,"Seventh Annual Meeting, Mont Tremblant Ski Resort, Mont Tremblant, Quebec, Wednesday, March 21 to Saturday March 24, 2007Access to spinal care: a tale of 2 citiesDoes the …","['Peter Cripton', 'Wolfram Tetzlaff']",,,,individualizedtrackingofselfdirectedmotorlearningingrouphousedmiceperformingaskilledleverpositioningtaskinthehomecage,Individualized tracking of self-directed motor learning in group-housed mice performing a skilled lever positioning task in the home cage,Individualized tracking of self-directed motor learning in group-housed mice performing a skilled lever positioning task in the home cage,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
measuringthebpoffourdopaminergictracersutilizingatissueinputfunction,Measuring the BP of four dopaminergic tracers utilizing a tissue input function,"['A Jon Stoessl', 'Vesna Sossi']",,,,exploringtheexpressionpatternsofpalmitoylatinganddepalmitoylatingenzymesinthemousebrainusingthecuratedrnaseqdatabasebrainpalmseq,Exploring the expression patterns of palmitoylating and de-palmitoylating enzymes in the mouse brain using the curated RNA-seq database BrainPalmSeq,Exploring the expression patterns of palmitoylating and de-palmitoylating enzymes in the mouse brain using the curated RNA-seq database BrainPalmSeq,"['Shernaz Bamji', 'Kurt Haas']","['Shernaz Bamji', 'Kurt Haas']"
optogeneticactivationofmousecorticalinhibitoryinterneuronsissufficienttoincreaselocalbloodflow,Optogenetic activation of mouse cortical inhibitory interneurons is sufficient to increase local blood flow,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,suei178spatialanalysisofpetimagesusing3dmomentinvariants3dmi,SU‐E‐I‐178: Spatial Analysis of PET Images Using 3D Moment Invariants (3DMI),SU‐E‐I‐178: Spatial Analysis of PET Images Using 3D Moment Invariants (3DMI),"['Martin McKeown', 'Vesna Sossi']","['Martin McKeown', 'Vesna Sossi']"
alterationsindynamicbrainconnectivitypatternsinparkinsonsdisease,Alterations in Dynamic Brain Connectivity Patterns in Parkinson's Disease,"['Martin McKeown', 'Z. Jane Wang']",,,,spatiotemporalpatternsofputaminaldopamineprocessinginparkinsonsdiseaseamultitracerpositronemissiontomographystudy,Spatiotemporal patterns of putaminal dopamine processing in Parkinson’s disease: A multi-tracer positron emission tomography study,Spatiotemporal patterns of putaminal dopamine processing in Parkinson's disease: A multi-tracer positron emission tomography study,"['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']"
traditionalversuscomputerizedfingertappinginpatientswithparkinsonsdisease,Traditional Versus Computerized Finger Tapping in Patients with Parkinson’s Disease,"['A Jon Stoessl', 'Silke Cresswell']",,,,corticalactivitymotifsthatcorrespondtosensorymodalitiesareorganizedwithinlargersuperclusters,Cortical activity motifs that correspond to sensory modalities are organized within larger super-clusters,Cortical activity motifs that correspond to sensory modalities are organized within larger superclusters,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
whichitemsonthemontrealcognitiveassessmentmocainparkinsonsdiseasepredictprogressionfrommildcognitiveimpairmentmcitodementia,Which items on the Montreal Cognitive Assessment (MoCA) in Parkinson's disease predict progression from mild cognitive impairment (MCI) to dementia?,"['Martin McKeown', 'Silke Cresswell']",,,,jointpatternanalysisappliedtopetdatandvmat2imagingrevealsnewinsightsintoparkinsonsdiseaseinducedpresynapticalterations,Joint pattern analysis applied to PET DAT and VMAT2 imaging reveals new insights into Parkinson's disease induced presynaptic alterations,Joint pattern analysis applied to PET DAT and VMAT2 imaging reveals new insights into Parkinson's disease induced presynaptic alterations,"['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']"
leveragingthepowerof3dbrainwideimagingandmappingtoolsforbraininjuryresearchinmurinemodels,Leveraging the power of 3D brain-wide imaging and mapping tools for brain injury research in murine models,"['Tim H. Murphy', 'Peter Cripton', 'Mark Cembrowski', 'Jeffrey LeDue']",,,,locallineardiscriminantanalysislldaforgroupandregionofinterestroibasedfmrianalysis,Local linear discriminant analysis (LLDA) for group and region of interest (ROI)-based fMRI analysis,Local Linear Discriminant Analysis (LLDA) for group and region of interest (ROI)-based fMRI analysis,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
thetemporaldynamicsofrestingstateconnectivityinparkinsonsdisease,The temporal dynamics of resting state connectivity in Parkinson's disease,"['Martin McKeown', 'Z. Jane Wang', 'Silke Cresswell']",,,,progressionofdopaminergicdysfunctioninalrrk2kindredamultitracerpetstudy,Progression of dopaminergic dysfunction in a LRRK2 kindred: a multitracer PET study,Progression of dopaminergic dysfunction in a LRRK2 kindred: A multitracer PET study,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
effectsofintermittentthetaburststimulationoncognitivefunctioningandhippocampalvolumesinbipolardepression,Effects of intermittent theta burst stimulation on cognitive functioning and hippocampal volumes in bipolar depression,"['Fidel Vila-Rodriguez', 'Sophia Frangou']",,,,changesinagonistconcentrationdependencethatareafunctionofdurationofexposuresuggestnmethyldaspartatereceptornonsaturationduringsynapticstimulation,Changes in Agonist Concentration Dependence That Are a Function of Duration of Exposure SuggestN-Methyl-D-aspartate Receptor Nonsaturation during Synaptic Stimulation,Changes in agonist concentration dependence that are a function of duration of exposure suggest N-methyl-D-aspartate receptor nonsaturation during synaptic stimulation,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
impulsivestealinginparkinsonsdiseasepdthefirstcaseassociatedwithdopaminergicmedication,Impulsive stealing in Parkinson's disease (PD): The first case associated with dopaminergic medication,"['Martin McKeown', 'Silke Cresswell']",,,,anteriorbrainglucosehypometabolismpredatesdementiainprogranulinmutationcarriers,Anterior brain glucose hypometabolism predates dementia in progranulin mutation carriers,Anterior brain glucose hypometabolism predates dementia in progranulin mutation carriers,"['A Jon Stoessl', 'Ian Mackenzie', 'Vesna Sossi']","['A Jon Stoessl', 'Ian Mackenzie', 'Vesna Sossi']"
mechanismsofalterednmethyldaspartatereceptormediatedcalciumsignalingintheyacmousemodelofhuntingtonsdisease,Mechanisms of altered N-methyl-D-aspartate receptor-mediated calcium signaling in the YAC mouse model of Huntington's disease,"['Tim H. Murphy', 'Lynn Raymond']",,,,tolcaponeenhancesfoodevokeddopamineeffluxandexecutivememoryprocessesmediatedbytheratprefrontalcortex,Tolcapone enhances food-evoked dopamine efflux and executive memory processes mediated by the rat prefrontal cortex,Tolcapone enhances food-evoked dopamine efflux and executive memory processes mediated by the rat prefrontal cortex,"['Anthony Phillips', 'Jeremy Seamans']","['Anthony Phillips', 'Jeremy Seamans']"
multitracerpetjointcorrelationanalysisrevealsdiseasespecificpatternsinbothparkinsonsdiseaseandasymptomaticlrrk2mutationcarrierscomparedtohealthycontrols,Multi-tracer PET joint correlation analysis reveals disease-specific patterns in both Parkinson's disease and asymptomatic LRRK2 mutation carriers compared to healthy controls,"['A Jon Stoessl', 'Vesna Sossi']",,,,clinicalpositronemissiontomographyandpathologicalstudiesofdnajc13pn855sparkinsonism,"Clinical, positron emission tomography, and pathological studies of DNAJC13 p. N855S Parkinsonism","Clinical, positron emission tomography, and pathological studies of DNAJC13 p.N855S Parkinsonism","['A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']","['A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']"
pbb3imaginginparkinsoniandisordersevidenceforbindingtoabnormallyaggregatedproteinsinadditiontotauproteins,PBB3 Imaging in Parkinsonian disorders: Evidence for binding to abnormally aggregated proteins in addition to tau proteins,"['A Jon Stoessl', 'Vesna Sossi']",,,,jointamplitudeandconnectivitycompensatorymechanismsinparkinsonsdisease,Joint amplitude and connectivity compensatory mechanisms in Parkinson's disease,Joint amplitude and connectivity compensatory mechanisms in Parkinson's disease,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
correlatingsubcorticalstructureandfunctioninidiopathicparkinsonsdiseaseacrosssectionalmorphometricand18fdopapetstudy,Correlating subcortical structure and function in idiopathic Parkinson's disease: A cross-sectional morphometric and [18F]-DOPA PET study,"['A Jon Stoessl', 'Vesna Sossi']",,,,theoralandfecalmicrobiotainacanadiancohortofalzheimersdisease,The oral and fecal microbiota in a Canadian cohort of Alzheimer’s disease,The Oral and Fecal Microbiota in a Canadian Cohort of Alzheimer's Disease,"['Brian MacVicar', 'Silke Cresswell']","['Brian MacVicar', 'Silke Cresswell']"
usingtheclosedheadimpactmodelofengineeredrotationalaccelerationtostudycooccurringtraumaticbrainandspinalcordinjury,Using the Closed-Head Impact Model of Engineered Rotational Acceleration to Study Co-occurring Traumatic Brain and Spinal Cord Injury,"['Peter Cripton', 'Wolfram Tetzlaff']",,,,parcellationoffunctionalsubregionsfromfmriagraphclusteringbasedapproach,Parcellation of functional sub-regions from fMRI: A graph clustering based approach,Parcellation of functional sub-regions from fMRI: A graph clustering based approach,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
effectofaveragekineticparametersingraphicalestimationofdistributionvolumeratiosofthreereversibleligands,Effect of average kinetic parameters in graphical estimation of distribution volume ratios of three reversible ligands,"['A Jon Stoessl', 'Vesna Sossi']",,,,11cdtbzpetcorrelatesoflevodoparesponsesinasymmetricparkinsonsdisease,[11C] DTBZ‐PET correlates of levodopa responses in asymmetric Parkinson’s disease,[<sup>11</sup>C]DTBZ-PET correlates of levodopa responses in asymmetric Parkinson's disease,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
investigationofmutationrelatedcovariancepatterninasymptomaticcarriersofgrnandc9orf72mutationsusingf18fdgpet,Investigation of mutation related covariance pattern in asymptomatic carriers of GRN and C9ORF72 mutations using [F18]-FDG PET,"['A Jon Stoessl', 'Ian Mackenzie', 'Vesna Sossi']",,,,optogeneticmodulationofglutamatergicafferentsfromtheventralsubiculumtothenucleusaccumbenseffectsondopaminefunctionresponsevigorandlocomotoractivity,"Optogenetic modulation of glutamatergic afferents from the ventral subiculum to the nucleus accumbens: effects on dopamine function, response vigor and locomotor activity","Optogenetic modulation of glutamatergic afferents from the ventral subiculum to the nucleus accumbens: Effects on dopamine function, response vigor and locomotor activity","['Anthony Phillips', 'Jeremy Seamans']","['Anthony Phillips', 'Jeremy Seamans']"
impairedvisuallydependentlargescaleeeginformationflowsinparkinsonsdiseaseatrestp06070,"Impaired Visually-Dependent, Large-Scale EEG Information Flows in Parkinson's Disease at Rest (P06. 070)","['Martin McKeown', 'Z. Jane Wang']",,,,hiddenmarkovmultivariateautoregressivehmmmarmodelingframeworkforsurfaceelectromyographysemgdata,Hidden Markov multivariate autoregressive (HMM-mAR) modeling framework for surface electromyography (sEMG) data,Hidden Markov multivariate autoregressive (HMM-mAR) modeling framework for surface electromyography (sEMG) data,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
1114visuallydependentdirectionaleegconnectivitychangesinparkinsonsdiseaseatrest,"1.114 VISUALLY-DEPENDENT, DIRECTIONAL EEG CONNECTIVITY CHANGES IN PARKINSON'S DISEASE AT REST","['Martin McKeown', 'Z. Jane Wang']",,,,ahiddenmarkovmultivariateautoregressivehmmmarnetworkframeworkforanalysisofsurfaceemgsemgdata,"A hidden Markov, multivariate autoregressive (HMM-mAR) network framework for analysis of surface EMG (sEMG) data","A hidden Markov, multivariate autoregressive (HMM-mAR) network framework for analysis of surface EMG (sEMG) data","['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
strategiestoreducescanningtimeinreceptorimagingwithpositronemissiontomography,Strategies to reduce scanning time in receptor imaging with Positron Emission Tomography,"['A Jon Stoessl', 'Vesna Sossi']",,,,amultiblockplsmodelofcorticocorticalandcorticomuscularinteractionsinparkinsonsdisease,A multiblock PLS model of cortico-cortical and corticomuscular interactions in Parkinson's disease,A multiblock PLS model of cortico-cortical and corticomuscular interactions in Parkinson's disease,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
connectivitypatternsderivedfromrestingstatefmripredictbradykinesiaandrigidityinparkinsonsdisease,Connectivity patterns derived from resting state fMRI predict bradykinesia and rigidity in Parkinson's disease,"['Martin McKeown', 'Z. Jane Wang', 'Silke Cresswell']",,,,extendedtreatmentwithglialcelllinederivedneurotrophicfactorinparkinsonsdisease,Extended treatment with glial cell line-derived neurotrophic factor in Parkinson’s disease,Extended Treatment with Glial Cell Line-Derived Neurotrophic Factor in Parkinson's Disease,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
examiningdopaminergicandclinicaldifferencesbetweenhabitualexercisersandsedentaryindividualswithparkinsonsdisease,Examining dopaminergic and clinical differences between habitual exercisers and sedentary individuals with Parkinson's disease,"['A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']",,,,psychoticsymptomsinfrontotemporaldementiawithtdp43tendtobeassociatedwithtypebpathology,Psychotic symptoms in frontotemporal dementia with TDP‐43 tend to be associated with type B pathology,Psychotic symptoms in frontotemporal dementia with TDP-43 tend to be associated with type B pathology,"['Fidel Vila-Rodriguez', 'Ian Mackenzie']","['Fidel Vila-Rodriguez', 'Ian Mackenzie']"
systematicphenomicsanalysisofasdassociatedgenesrevealssharedfunctionsand,Systematic phenomics analysis of ASD-associated genes reveals shared functions and,"['Paul Pavlidis', 'Kurt Haas', 'Catharine Rankin']",,,,hippocampallongtermdepressionisrequiredfortheconsolidationofspatialmemory,Hippocampal long-term depression is required for the consolidation of spatial memory,Hippocampal long-term depression is required for the consolidation of spatial memory,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony Phillips', 'Yu Tian Wang']"
techniqueforquantitativeanalysisofcervicalmyelopathyusingmagneticresonanceimagingposter39,Technique for Quantitative Analysis of Cervical Myelopathy using Magnetic Resonance Imaging: Poster# 39,"['Peter Cripton', 'Wolfram Tetzlaff']",,,,sparcfromolfactoryensheathingcellsstimulatesschwanncellstopromoteneuriteoutgrowthandenhancesspinalcordrepair,SPARC from olfactory ensheathing cells stimulates Schwann cells to promote neurite outgrowth and enhances spinal cord repair,SPARC from olfactory ensheathing cells stimulates schwann cells to promote neurite outgrowth and enhances spinal cord repair,"['Wolfram Tetzlaff', 'Jane Roskams']","['Wolfram Tetzlaff', 'Jane Roskams']"
tauimaginginatypicalparkinsonismpreliminaryevidencewith11cpbb3petinpspsubjectss5001,Tau Imaging in Atypical Parkinsonism: Preliminary Evidence with [11C] PBB3 PET in PSP Subjects (S5. 001),"['A Jon Stoessl', 'Vesna Sossi']",,,,thecanadianrarediseasesmodelsandmechanismsrdmmnetworkconnectingunderstudiedgenestomodelorganisms,The Canadian rare diseases models and mechanisms (RDMM) network: connecting understudied genes to model organisms,The Canadian Rare Diseases Models and Mechanisms (RDMM) Network: Connecting Understudied Genes to Model Organisms,"['Paul Pavlidis', 'Catharine Rankin']","['Paul Pavlidis', 'Catharine Rankin']"
olfactoryensheathingcellproducedsparcmodulatesschwanncellactivationtopromoteneuriteoutgrowthandspinalcordrepair,Olfactory ensheathing cell-produced SPARC modulates Schwann cell activation to promote neurite outgrowth and spinal cord repair,"['Wolfram Tetzlaff', 'Jane Roskams']",,,,atimevaryingeigenspectrumsvmmethodforsemgclassificationofreachingmovementsinhealthyandstrokesubjects,A time-varying eigenspectrum/SVM method for sEMG classification of reaching movements in healthy and stroke subjects,A time-varying eigenspectrum / SVM method for sEMG classification of reaching movements in healthy and stroke subjects,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
